Category,Reviews,Installs,Type,Size,Price,Content Rating,Genres,Current Version,Rating > 80%
18,5,1000.0,0,8.1,0.0,1,35,1,True
22,33439,5000000.0,0,3.9,0.0,0,83,3,True
21,68406,10000000.0,0,24.0,0.0,0,82,6,True
16,7457,1000000.0,0,13.0,0.0,1,26,2,True
25,3673,500000.0,0,5.8,0.0,0,86,1,True
18,10,100.0,0,2.5,0.0,0,99,8,True
22,88,10000.0,0,7.7,0.0,0,83,2,True
17,27711703,1000000000.0,0,76.0,0.0,2,29,1,True
25,8137,1000000.0,0,3.9,0.0,0,86,1,True
21,110425,10000000.0,0,27.0,0.0,0,82,1,True
16,10,1000.0,0,21.0,0.0,0,26,2,True
9,35931,1000000.0,0,19.0,0.0,1,17,3,True
11,8188,100000.0,0,22.0,0.0,0,21,2,True
13,2,500.0,0,5.9,0.0,0,23,2,True
22,12572,1000000.0,0,8.5,0.0,0,83,1,True
8,172508,5000000.0,0,76.0,0.0,0,13,5,True
21,973270,50000000.0,0,20.0,0.0,1,82,2,True
17,349503,10000000.0,0,19.0,0.0,0,29,1,True
26,86481,10000000.0,0,8.6,0.0,0,87,4,True
25,1,10.0,0,3.7,0.0,0,86,2,True
26,24,1000.0,0,3.6,0.0,0,87,2,True
18,11442,1000000.0,0,66.0,0.0,0,48,1,True
20,260,10000.0,0,1.3,0.0,1,81,1,True
13,31139,1000000.0,0,6.9,0.0,0,23,1,True
26,26601,1000000.0,0,5.4,0.0,0,87,2,True
21,95520,10000000.0,0,15.0,0.0,1,82,5,True
32,26014,1000000.0,0,7.7,0.0,0,96,2,True
26,292,10000.0,0,7.9,0.0,0,87,1,True
16,19,1000.0,0,3.1,0.0,0,26,2,True
8,7973,1000000.0,0,18.0,0.0,0,11,0,True
18,288835,5000000.0,0,91.0,0.0,3,33,2,True
18,22290,500000.0,0,13.0,0.0,0,35,1,True
18,67,10000.0,0,31.0,0.0,0,40,1,True
18,7,10.0,0,5.6,0.0,0,11,1,True
18,21,1000.0,0,49.0,0.0,0,44,1,True
23,11151,1000000.0,0,52.0,0.0,0,36,2,True
18,11002,1000000.0,0,21.0,0.0,0,14,1,True
11,278082,10000000.0,0,70.0,0.0,0,21,1,True
6,27540,1000000.0,0,3.7,0.0,0,9,1,True
29,8433,100000.0,0,5.6,0.0,0,93,5,True
29,18194,1000000.0,0,3.2,0.0,0,93,1,True
25,38679,10000000.0,0,5.9,0.0,0,86,3,True
25,22503,1000000.0,0,6.5,0.0,0,86,4,True
19,168,10000.0,1,25.0,24.99,0,80,7,True
16,100,1000000.0,0,7.1,0.0,0,26,1,True
17,14283,1000000.0,0,4.2,0.0,1,100,1,True
18,3617,1000000.0,0,19.0,0.0,0,71,4,True
18,159619,5000000.0,0,23.0,0.0,0,78,6,True
